,Unnamed: 0,intersect,obs,forecast,date,level_0,index,x,y,case,fcsthr,met_x,met_y,interest,area,bound_dist,percentile_90,centroid_dist,length,julian_date,real_date,ddif
70,158,1144.0,3303.0,1722.0,19870109_000000,72,72,-151.48443,36.06661,F001,1440000.0,114.06228,504.26646,0.91705,0.86102,0.0,1094.87116,10.14294,80.07376,9,,
71,159,2746.0,3203.0,3884.0,19870110_000000,73,73,-140.9291,38.5457,F001,1440000.0,156.28361,514.18279,0.93793,0.72343,0.0,830.77133,8.42691,151.87049,10,,
72,160,1420.0,1762.0,1920.0,19870111_000000,74,74,-134.11224,44.16434,F001,1440000.0,183.55102,536.65736,0.93846,0.46049,0.0,773.28847,8.19352,123.8501,11,,
73,163,-999.0,-999.0,-999.0,19870114_000000,1718,25,-153.11895,38.58703,O001,1440000.0,107.52419,514.34812,,,,683.82618,,70.17586,14,,
74,164,-999.0,-999.0,-999.0,19870115_000000,1719,26,-146.77195,48.45213,O001,1440000.0,132.9122,553.80854,,,,774.30344,,84.14442,15,,
76,166,25.0,1030.0,343.0,19870117_000000,75,75,-139.83826,48.04008,F001,1440000.0,160.64695,552.16031,0.85982,0.5262,0.0,566.23079,19.30982,60.46031,17,,
77,167,-999.0,-999.0,-999.0,19870118_000000,76,119,-152.72356,40.85596,F001,1440000.0,109.10576,523.42385,0.87643,0.613,0.0,821.19011,13.62634,109.09843,18,1987-01-18,12 days
78,168,1066.0,1783.0,1753.0,19870119_000000,77,77,-142.98281,43.3881,F001,1440000.0,148.06878,533.5524,0.92096,0.67315,0.0,672.71206,7.22943,100.10145,19,,
81,171,-999.0,-999.0,-999.0,19870122_000000,1351,15,-136.84544,47.24692,F001,1440000.0,172.61823,548.98768,,,,600.8048,,67.07851,22,,
82,172,679.0,903.0,1123.0,19870123_000000,78,124,-151.26183,40.30467,F001,1440000.0,114.95267,521.21869,0.88808,0.35105,0.0,726.55718,14.10245,66.07984,23,1987-01-23,5 days
83,176,-999.0,-999.0,-999.0,19870127_000000,1353,17,-135.01123,41.05344,F001,1440000.0,179.95507,524.21375,,,,783.03076,,101.82277,27,,
84,178,369.0,878.0,446.0,19870129_000000,79,79,-149.61142,35.6967,F001,1440000.0,121.5543,502.78681,0.7144,0.089977,0.0,830.75044,21.73986,85.661,29,,
85,179,-999.0,-999.0,-999.0,19870130_000000,1723,30,-126.44374,42.09203,O001,1440000.0,214.22504,528.36811,,,,657.1303,,81.32514,30,,
87,180,1812.0,2992.0,3572.0,19870131_000000,80,130,-143.71316,35.25106,F001,1440000.0,145.14735,501.00422,0.979,0.79313,0.0,783.07855,4.49635,129.75733,31,1987-01-31,6 days
88,181,2914.0,3348.0,3331.0,19870201_000000,81,81,-142.00975,32.25904,F001,1440000.0,151.96099,489.03615,0.91504,0.83811,0.0,923.17019,10.67213,157.40891,32,,
89,182,689.0,1026.0,1491.0,19870202_000000,82,82,-128.00754,37.04787,F001,1440000.0,207.96982,508.19147,0.88076,0.72533,0.0,785.55342,15.45353,78.15776,33,,
90,184,883.0,2000.0,1895.0,19870204_000000,84,84,-144.01009,35.01574,F001,1440000.0,143.95964,500.06295,0.92049,0.55683,0.0,666.96215,8.80237,125.40904,35,,
91,186,220.0,595.0,1672.0,19870206_000000,86,86,-134.97514,36.55148,F001,1440000.0,180.09942,506.2059,0.92849,0.51765,0.0,831.39139,5.75824,124.68907,37,,
92,187,-999.0,-999.0,-999.0,19870207_000000,87,87,-151.82817,37.64499,F001,1440000.0,112.68732,510.57997,0.92643,0.39771,0.0,791.65606,8.79648,64.83657,38,,
